T,bootstrap_mean_rate,bootstrap_std_dev_rate,set_membership_mean_rate,set_membership_std_dev_rate
10,0.04840000000000002,0.0188,0.0455,0.021418449990603897
50,0.05780000000000001,0.018632230140270382,0.05890000000000001,0.017994165721144175
100,0.04819999999999999,0.01768502191121063,0.0499,0.01646177390198274
500,0.04639999999999999,0.016402438843050142,0.04279999999999999,0.015104966070799364
1000,0.0458,0.015177615095923339,0.04739999999999999,0.014185908501044267
